catalog_type,item_id,asset_variant,image_url
fish,1984bfd4c83e1047,tank,https://dodo.ac/np/images/b/b2/Anchovy_NH_Furniture_Icon.png
fish,22ecb926c09bd33c,tank,https://dodo.ac/np/images/8/8b/Arowana_NH_Furniture_Icon.png
fish,2c26cae925087a0a,tank,https://dodo.ac/np/images/c/c0/Sea_Butterfly_NH_Furniture_Icon.png
fish,31588d70845632b0,tank,https://dodo.ac/np/images/9/9d/Yellow_Perch_NH_Furniture_Icon.png
fish,32088cde99649d96,tank,https://dodo.ac/np/images/a/a8/Loach_NH_Furniture_Icon.png
fish,32f06d9460dd4f8a,tank,https://dodo.ac/np/images/4/4d/Stringfish_NH_Furniture_Icon.png
fish,34f6b8f5e67f7d41,tank,https://dodo.ac/np/images/2/2d/Blowfish_NH_Furniture_Icon.png
fish,40b4655c75178d36,tank,https://dodo.ac/np/images/2/22/Giant_Trevally_NH_Furniture_Icon.png
fish,46ae09b14f76b674,tank,https://dodo.ac/np/images/e/ea/Oarfish_NH_Furniture_Icon.png
fish,472d0cf0dadf7935,tank,https://dodo.ac/np/images/f/fa/Salmon_NH_Furniture_Icon.png
fish,49cfd75828511531,tank,https://dodo.ac/np/images/0/0c/Killifish_NH_Furniture_Icon.png
fish,57b01143bf840264,tank,https://dodo.ac/np/images/9/95/Barred_Knifejaw_NH_Furniture_Icon.png
fish,5a2c9adc9c045821,tank,https://dodo.ac/np/images/1/14/Coelacanth_NH_Furniture_Icon.png
fish,5bbdf2293ab212ca,tank,https://dodo.ac/np/images/1/1f/Hammerhead_Shark_NH_Furniture_Icon.png
fish,605fcd96509c69b4,tank,https://dodo.ac/np/images/a/a8/Nibble_Fish_NH_Furniture_Icon.png
fish,615e08f343a80441,tank,https://dodo.ac/np/images/e/e6/Arapaima_NH_Furniture_Icon.png
fish,644cf96659e48d5c,tank,https://dodo.ac/np/images/f/f0/Neon_Tetra_NH_Furniture_Icon.png
fish,674481bf7350cea2,tank,https://dodo.ac/np/images/f/f2/Napoleonfish_NH_Furniture_Icon.png
fish,6863bde4e075d06a,tank,https://dodo.ac/np/images/9/96/Surgeonfish_NH_Furniture_Icon.png
fish,694cf715769ed9f2,tank,https://dodo.ac/np/images/4/49/Guppy_NH_Furniture_Icon.png
fish,6a1feaab0ee11735,tank,https://dodo.ac/np/images/4/4c/Crucian_Carp_NH_Furniture_Icon.png
fish,6f6190841010ef54,tank,https://dodo.ac/np/images/a/ac/Golden_Trout_NH_Furniture_Icon.png
fish,76f904bf4b014cdb,tank,https://dodo.ac/np/images/b/b0/Pike_NH_Furniture_Icon.png
fish,7d0301e84cf06cf0,tank,https://dodo.ac/np/images/6/62/Betta_NH_Furniture_Icon.png
fish,7f3acace44de57e4,tank,https://dodo.ac/np/images/7/72/Moray_Eel_NH_Furniture_Icon.png
fish,804336837ff0d893,tank,https://dodo.ac/np/images/3/39/Bluegill_NH_Furniture_Icon.png
fish,866a579cf51a672e,tank,https://dodo.ac/np/images/c/cf/Freshwater_Goby_NH_Furniture_Icon.png
fish,8940024167c596ee,tank,https://dodo.ac/np/images/d/d2/Angelfish_NH_Furniture_Icon.png
fish,8b1d54d5874692ab,tank,https://dodo.ac/np/images/5/50/Tilapia_NH_Furniture_Icon.png
fish,8bb4f770af595647,tank,https://dodo.ac/np/images/c/c6/Goldfish_NH_Furniture_Icon.png
fish,8bbe3d5c89dc276f,tank,https://dodo.ac/np/images/7/7c/Dace_NH_Furniture_Icon.png
